arm,loss,seed,label,sent,kept,dropped,realized,observedB,drop_obs,kept_obs,deliv_frac,status
dipp,0,1,sw_L0_s1,1041,1041,0,0.000,1041,0,1041,1.0000,ok
dipp,0,2,sw_L0_s2,1041,1041,0,0.000,1041,0,1041,1.0000,ok
dipp,0,3,sw_L0_s3,1041,1041,0,0.000,1041,0,1041,1.0000,ok
dipp,0,4,sw_L0_s4,1041,1041,0,0.000,1041,0,1041,1.0000,ok
dipp,0,5,sw_L0_s5,1041,1041,0,0.000,1041,0,1041,1.0000,ok
dipp,0.02,1,sw_L0.02_s1,1041,1005,36,0.035,1005,0,1005,0.9654,ok
dipp,0.02,2,sw_L0.02_s2,1041,1018,23,0.022,1018,0,1018,0.9779,ok
dipp,0.02,3,sw_L0.02_s3,1041,1013,28,0.027,1013,0,1013,0.9731,ok
dipp,0.02,4,sw_L0.02_s4,1041,1012,29,0.028,1012,0,1012,0.9721,ok
dipp,0.02,5,sw_L0.02_s5,1041,1022,19,0.018,1022,0,1022,0.9817,ok
dipp,0.05,1,sw_L0.05_s1,1041,979,62,0.060,979,0,979,0.9404,ok
dipp,0.05,2,sw_L0.05_s2,1041,995,46,0.044,995,0,995,0.9558,ok
dipp,0.05,3,sw_L0.05_s3,1041,961,80,0.077,961,0,961,0.9232,ok
dipp,0.05,4,sw_L0.05_s4,1041,972,69,0.066,972,0,972,0.9337,ok
dipp,0.05,5,sw_L0.05_s5,1041,964,77,0.074,964,0,964,0.9260,ok
dipp,0.10,1,sw_L0.10_s1,1041,937,104,0.100,937,0,937,0.9001,ok
dipp,0.10,2,sw_L0.10_s2,1041,942,99,0.095,942,0,942,0.9049,ok
dipp,0.10,3,sw_L0.10_s3,1041,882,159,0.153,882,0,882,0.8473,ok
dipp,0.10,4,sw_L0.10_s4,1041,909,132,0.127,909,0,909,0.8732,ok
dipp,0.10,5,sw_L0.10_s5,1041,929,112,0.108,929,0,929,0.8924,ok
dipp,0.20,1,sw_L0.20_s1,1041,829,212,0.204,829,0,829,0.7963,ok
dipp,0.20,2,sw_L0.20_s2,1041,801,240,0.231,801,0,801,0.7695,ok
dipp,0.20,3,sw_L0.20_s3,1041,797,244,0.234,797,0,797,0.7656,ok
dipp,0.20,4,sw_L0.20_s4,1041,831,210,0.202,831,0,831,0.7983,ok
dipp,0.20,5,sw_L0.20_s5,1041,824,217,0.208,824,0,824,0.7915,ok
dipp,0.30,1,sw_L0.30_s1,1041,780,261,0.251,780,0,780,0.7493,ok
dipp,0.30,2,sw_L0.30_s2,1041,705,336,0.323,705,0,705,0.6772,ok
dipp,0.30,3,sw_L0.30_s3,1041,671,370,0.355,671,0,671,0.6446,ok
dipp,0.30,4,sw_L0.30_s4,1041,715,326,0.313,715,0,715,0.6868,ok
dipp,0.30,5,sw_L0.30_s5,1041,742,299,0.287,742,0,742,0.7128,ok
