idx,total,received,missing,last_seq,status,bailed,dur_s,kbps,range_rate_kms,doppler_hz
1,81540,4704,2,381,0,1,15.159,0,-6.683,+2229.2
2,72520,10780,2,351,0,1,14.745,0,-6.486,+2163.3
3,63504,16072,1,328,0,1,14.317,0,-5.696,+1899.9
4,64484,21560,1,334,0,1,14.32,0,-4.985,+1662.8
5,60564,24500,1,58,0,1,7.15,2,-3.889,+1297.3
6,58800,28224,1,69,0,1,8.0,2,-1.391,+463.9
7,55272,32340,1,89,0,1,8.923,2,+2.627,-876.2
8,51352,37044,1,333,0,1,13.924,1,+3.899,-1300.7
9,50372,40964,1,335,0,1,13.478,2,+6.218,-2074.3
10,50372,46256,1,334,0,1,13.479,2,+6.521,-2175.1
11,47040,50764,1,318,0,1,13.54,2,+6.681,-2228.5
12,44100,55272,1,333,0,1,13.61,3,+6.811,-2271.9
13,43316,57820,1,337,0,1,13.57,3,+6.937,-2313.9
