loss,seed,injected,dropped,claimed,crc,sha,rate_bps,ts
0.02,1,1443,57,DELIVERED,SUCCESS,MATCH,0,2026-06-26T08:51:15Z
0.02,2,1425,35,DELIVERED,SUCCESS,MATCH,0,2026-06-26T08:53:10Z
0.05,1,1493,89,DELIVERED,SUCCESS,MATCH,0,2026-06-26T08:56:28Z
0.05,2,1456,58,DELIVERED,SUCCESS,MATCH,0,2026-06-26T08:59:06Z
0.10,1,794,81,FAILED,MISMATCH,MISMATCH,0,2026-06-26T09:02:26Z
0.10,2,1565,139,DELIVERED,SUCCESS,MATCH,0,2026-06-26T09:07:21Z
0.20,1,794,132,FAILED,MISMATCH,MISMATCH,0,2026-06-26T09:12:22Z
0.20,2,915,219,FAILED,MISMATCH,MISMATCH,0,2026-06-26T09:19:47Z
0.30,1,803,171,FAILED,MISMATCH,MISMATCH,0,2026-06-26T09:25:57Z
0.30,2,915,305,FAILED,MISMATCH,MISMATCH,0,2026-06-26T09:35:16Z
